date,state,positive,negative,pending,death,total,dateChecked
20200314,IL,46,316,82,NA,444,2020-03-14T20:00:00Z
20200314,IN,15,74,NA,0,89,2020-03-14T20:00:00Z
20200314,KS,6,93,NA,1,100,2020-03-14T20:00:00Z
20200314,KY,14,139,NA,NA,153,2020-03-14T20:00:00Z
20200314,LA,69,109,NA,NA,178,2020-03-14T20:00:00Z
20200314,MA,138,352,NA,NA,490,2020-03-14T20:00:00Z
20200314,MD,26,94,NA,NA,120,2020-03-14T20:00:00Z
20200314,ME,3,91,17,NA,111,2020-03-14T20:00:00Z
20200314,MI,25,205,26,NA,256,2020-03-14T20:00:00Z
20200314,MN,21,847,NA,NA,868,2020-03-14T20:00:00Z
20200314,MO,4,90,NA,0,94,2020-03-14T20:00:00Z
20200314,MS,6,84,NA,NA,90,2020-03-14T20:00:00Z
20200314,MT,5,103,NA,NA,108,2020-03-14T20:00:00Z
20200314,NC,23,137,NA,NA,160,2020-03-14T20:00:00Z
20200314,ND,1,54,14,0,69,2020-03-14T20:00:00Z
20200314,NE,14,80,33,NA,127,2020-03-14T20:00:00Z
20200314,NH,7,212,31,NA,250,2020-03-14T20:00:00Z
20200314,NJ,50,NA,80,1,130,2020-03-14T20:00:00Z
20200314,NM,10,237,NA,NA,247,2020-03-14T20:00:00Z
20200314,NV,20,168,NA,NA,188,2020-03-14T20:00:00Z
20200314,NY,524,2779,NA,NA,3303,2020-03-14T20:00:00Z
20200314,OH,13,50,159,NA,222,2020-03-14T20:00:00Z
20200314,OK,4,36,37,NA,77,2020-03-14T20:00:00Z
20200314,OR,30,337,157,NA,524,2020-03-14T20:00:00Z
20200314,PA,47,205,150,NA,402,2020-03-14T20:00:00Z
20200314,RI,20,198,57,NA,275,2020-03-14T20:00:00Z
20200314,SC,13,110,NA,NA,123,2020-03-14T20:00:00Z
20200314,SD,9,182,3,NA,194,2020-03-14T20:00:00Z
20200314,TN,32,130,NA,NA,162,2020-03-14T20:00:00Z
20200314,TX,51,NA,NA,NA,51,2020-03-14T20:00:00Z
20200314,UT,6,131,NA,NA,137,2020-03-14T20:00:00Z
20200314,VA,30,117,NA,NA,147,2020-03-14T20:00:00Z
20200314,VT,4,227,NA,NA,231,2020-03-14T20:00:00Z
20200314,WA,568,6001,NA,37,6569,2020-03-14T20:00:00Z
20200314,WI,19,169,NA,NA,188,2020-03-14T20:00:00Z
20200314,WV,0,26,5,NA,31,2020-03-14T20:00:00Z
20200314,WY,2,NA,NA,NA,2,2020-03-14T20:00:00Z
20200313,AK,1,59,NA,NA,60,2020-03-13T20:00:00Z
20200313,AL,1,11,NA,NA,12,2020-03-13T20:00:00Z
20200313,AR,9,30,22,NA,61,2020-03-13T20:00:00Z
20200313,AZ,9,94,40,0,143,2020-03-13T20:00:00Z
20200313,CA,202,916,NA,4,1118,2020-03-13T20:00:00Z
20200313,CO,72,524,NA,NA,596,2020-03-13T20:00:00Z
20200313,CT,6,99,NA,NA,105,2020-03-13T20:00:00Z
20200313,DC,10,20,NA,NA,30,2020-03-13T20:00:00Z
20200313,DE,4,30,10,NA,44,2020-03-13T20:00:00Z
20200313,FL,50,478,221,2,749,2020-03-13T20:00:00Z
20200313,GA,42,NA,NA,1,42,2020-03-13T20:00:00Z
20200313,HI,2,NA,NA,NA,2,2020-03-13T20:00:00Z
20200313,IA,16,83,29,NA,128,2020-03-13T20:00:00Z
20200313,ID,0,131,NA,NA,131,2020-03-13T20:00:00Z
20200313,IL,32,294,92,NA,418,2020-03-13T20:00:00Z
20200313,IN,12,61,NA,NA,73,2020-03-13T20:00:00Z
20200313,KS,6,93,NA,NA,99,2020-03-13T20:00:00Z
20200313,KY,11,107,NA,NA,118,2020-03-13T20:00:00Z
20200313,LA,36,37,NA,NA,73,2020-03-13T20:00:00Z
20200313,MA,123,92,NA,NA,215,2020-03-13T20:00:00Z
20200313,MD,17,94,NA,NA,111,2020-03-13T20:00:00Z
20200313,ME,3,91,17,NA,111,2020-03-13T20:00:00Z
20200313,MI,16,133,26,NA,175,2020-03-13T20:00:00Z
20200313,MN,14,541,NA,NA,555,2020-03-13T20:00:00Z
20200313,MO,2,71,NA,NA,73,2020-03-13T20:00:00Z
20200313,MS,4,38,NA,NA,42,2020-03-13T20:00:00Z
20200313,MT,1,55,NA,NA,56,2020-03-13T20:00:00Z
20200313,NC,15,86,NA,NA,101,2020-03-13T20:00:00Z
20200313,ND,1,39,12,0,52,2020-03-13T20:00:00Z
20200313,NE,13,80,33,NA,126,2020-03-13T20:00:00Z
20200313,NH,6,94,21,NA,121,2020-03-13T20:00:00Z
20200313,NJ,50,NA,80,1,130,2020-03-13T20:00:00Z
20200313,NM,10,190,NA,NA,200,2020-03-13T20:00:00Z
20200313,NV,11,168,NA,NA,179,2020-03-13T20:00:00Z
20200313,NY,421,2779,NA,NA,3200,2020-03-13T20:00:00Z
20200313,OH,13,50,159,NA,222,2020-03-13T20:00:00Z
20200313,OK,3,36,37,NA,76,2020-03-13T20:00:00Z
20200313,OR,30,337,157,NA,524,2020-03-13T20:00:00Z
20200313,PA,33,140,130,NA,303,2020-03-13T20:00:00Z
20200313,RI,14,142,29,NA,185,2020-03-13T20:00:00Z
20200313,SC,12,75,NA,NA,87,2020-03-13T20:00:00Z
20200313,SD,9,73,11,NA,93,2020-03-13T20:00:00Z
20200313,TN,26,116,NA,NA,142,2020-03-13T20:00:00Z
20200313,TX,39,NA,NA,NA,39,2020-03-13T20:00:00Z
20200313,UT,6,131,NA,NA,137,2020-03-13T20:00:00Z
20200313,VA,30,117,NA,NA,147,2020-03-13T20:00:00Z
20200313,VT,2,142,NA,NA,144,2020-03-13T20:00:00Z
20200313,WA,457,4350,NA,31,4807,2020-03-13T20:00:00Z
20200313,WI,19,169,NA,NA,188,2020-03-13T20:00:00Z
20200313,WV,0,17,4,NA,21,2020-03-13T20:00:00Z
20200313,WY,1,NA,NA,NA,1,2020-03-13T20:00:00Z
20200312,AK,0,46,14,NA,60,2020-03-12T20:00:00Z
20200312,AL,0,10,NA,NA,10,2020-03-12T20:00:00Z
20200312,AR,6,24,20,NA,50,2020-03-12T20:00:00Z
20200312,AZ,9,82,24,NA,115,2020-03-12T20:00:00Z
20200312,CA,202,916,NA,4,1118,2020-03-12T20:00:00Z
20200312,CO,45,298,NA,NA,343,2020-03-12T20:00:00Z
20200312,CT,6,89,NA,NA,95,2020-03-12T20:00:00Z
20200312,DC,10,20,NA,NA,30,2020-03-12T20:00:00Z
20200312,DE,4,23,14,NA,41,2020-03-12T20:00:00Z
20200312,FL,32,301,147,2,480,2020-03-12T20:00:00Z
20200312,GA,31,NA,NA,NA,31,2020-03-12T20:00:00Z
